id,name,kind,family,params_m,macs_g,input_res,pretrain,imagenet_top1,data_need,train_cost,throughput,licence,evidence,glass_plastic_strengths,glass_plastic_weaknesses,pros,cons,recommended_when,tier,refs
mlp_shallow_features,Shallow MLP on hand-crafted features,model,Classical ML on features,0.01,,feature vector,none,,"~1,000+ labelled images",1-60 s CPU,0.1 ms/image,scikit-learn / PyTorch (BSD/MIT),"Measured here: 0.90 - no better than SVM/trees at this sample size, with a larger variance. Consistent with the classical-vs-deep result that deep models need sample scale before they pay off [R25,R18].",Can learn mild non-linear interactions of features; trivially portable (a few hundred weights).,"Data-hungry relative to its capacity, no accuracy advantage over trees/SVM on the same features, extra tuning surface.","Small, fast, familiar; useful stepping stone to a CNN pipeline.",Usually strictly dominated by boosting on tabular features - include it in a benchmark mainly to document that fact.,Research comparison / teaching; middle ground between linear models and CNNs.,research,"R25,R18"
cnn_small_scratch,Small CNN trained from scratch (4-8 conv layers),model,CNN from scratch,0.5,0.05,96-224,none,,"~5,000+ images (or heavy augmentation)",CPU hours / GPU minutes,1-5 ms/image CPU,own code (MIT),"A 6-layer baseline CNN reached 90.61% on a 2-class waste set, versus 95.51% (MobileNetV2) and 96.00% (VGG16) with transfer learning in the same study - the canonical 'transfer learning beats from-scratch at small n' result.","Can learn local texture/gradient cues in a spatially selective way, which global descriptors cannot.","Needs far more data than a fine-tuned backbone; learns dataset-specific shortcuts (background, lighting) easily, especially on small sets.",Full architectural control and total transparency; no licence or download constraints; cheap inference.,Poor sample efficiency; usually loses to a fine-tuned pretrained model of similar size; more hyper-parameter work.,"Huge in-domain datasets, on-device constraints with no pretrained weights available, or when you must own the whole stack.",baseline / research,"R7,R37"
cnn_lightweight_research,"Purpose-built lightweight CNNs (RecycleNet, Focus-RCNet-KD, WasNet)",model,CNN from scratch (waste-specific designs),0.525,0.06,224,none / distillation,,"~2,000-10,000 images",hours CPU / minutes GPU,1-3 ms/image CPU,"mixed (paper code, check repo licences)","RecycleNet: 3M params, 81% TrashNet [R10]. Focus-RCNet-KD: 0.525M params, 92% TrashNet [R9]. WasNet: 96.10% TrashNet, 82.5% Huawei, 64.5% ImageNet [R11].",Knowledge distillation into a sub-million-parameter model is the documented route to on-belt inference with acceptable accuracy.,"All the usual small-model caveats, plus: the residual errors concentrate exactly where the physics is hard (transparent, deformed, contaminated items).",Mobile-grade cost with respectable accuracy; designed with waste taxonomies in mind.,"Non-standard, harder to maintain than a timm/torchvision model; benchmark numbers mostly come from TrashNet, which is saturated and studio-lit.",Retrofitting legacy sorting lines with CPU-only inference.,production (edge),"R9,R10,R11"
cnn_resnet18,ResNet-18 (transfer learning),model,CNN transfer learning,11.7,1.8,224,ImageNet-1k,69.8,"~200-2,000 labelled crops","GPU: ~5 min (2-class, 20 epochs)","~2-6 ms/image on a modern CPU, <1 ms on a mid GPU (batch 1)",BSD-3 (torchvision/timm),"The default reference in waste studies; ResNet-34 transfer learning reached 96% on web-scraped plastics when the classes were balanced but 71.8% on a harder, imbalanced set (F1 71.1%) [R37]; ResNet-50 was the best of four conventional waste classifiers in the hyperspectral review [R22].","Cheap to fine-tune, learns texture/gradient cues that survive mild colour shifts; robust enough for a first real-data benchmark.","Residual blocks are good at texture but not at reasoning about specularity; will happily exploit background/lighting shortcuts, which is why a background-only control is mandatory.","Small, well-supported, fast to train, easy to export (ONNX/TorchScript), abundant pre-trained recipes.",Lowest ImageNet accuracy of the modern CNNs in this table; limited capacity for fine-grained material cues.,First transfer-learning baseline on your own glass/plastic data; always report it alongside a heavier backbone.,baseline,"R22,R37"
cnn_resnet50,ResNet-50 / ResNeXt-50 32x4d (transfer learning),model,CNN transfer learning,25.6,4.1,224,ImageNet-1k,76.1 (classic recipe) / 81.8 (RA4-E3600 recipe @288),"~500-5,000 labelled crops",GPU: ~10-20 min,"~5-20 ms/image CPU, ~1-3 ms/image GPU",BSD-3 / Apache-2.0,ResNet-50 was the strongest of four conventional waste classifiers (>90%) in the hyperspectral plastic review [R22]; ResNeXt-101 is the backbone used for the TrashBox federated study [R33]; the 12-backbone comparison puts ResNet-50 at 76.13% versus ConvNeXt-Tiny 82.52% at similar size [R38].,Strong feature extractor for a modest cost; ResNeXt grouping adds capacity at iso-FLOPs; well-understood failure modes.,Same image-level shortcut risk as any classifier head; no built-in attention to the object vs the belt.,The de-facto standard for reproducibility; huge prior literature for comparison; trivially quantisable (INT8) for edge.,Dominated on accuracy-per-FLOP by ConvNeXt/RegNet/EfficientNet at the same budget [R38].,When you need comparability with published waste papers; as the second baseline after ResNet-18.,baseline / production,"R22,R33,R38"
cnn_densenet121,DenseNet-121 / -169 (transfer learning),model,CNN transfer learning,8.0,2.9,224,ImageNet-1k,74.4 (121) / 75.6 (169),"~200-2,000 labelled crops",GPU: ~10-15 min,~4-12 ms/image CPU,BSD-3,"The most consistent winner on waste imagery in the literature: ~95% TrashNet [R8], 91% under a stricter split [R7], and 99.60% with hyper-parameter optimisation [R12]; also used in the HSI plastic review [R22].",Feature reuse across scales suits the multi-scale nature of material cues (rim highlight vs body texture vs label); small parameter count for its accuracy.,"Memory-hungry activations at high resolution; like all of these, TrashNet numbers are inflated by a studio-white background.",Best documented accuracy/parameter ratio for waste classification; widely available.,Slower than MobileNet-class models; concatenation memory limits batch size.,Default strong CNN baseline for a static-image glass/plastic benchmark.,baseline / production,"R7,R8,R12"
cnn_vgg16,VGG-16 / VGG-19 (transfer learning),model,CNN transfer learning,138.4,15.5,224,ImageNet-1k,71.6,"~1,000-10,000 labelled crops",GPU: ~30-60 min,>20 ms/image CPU (slow),CC BY 4.0 (weights) / own impl.,"VGG16 reached 96.00% on a 2-class waste set, beating MobileNetV2 (95.51%) and a 6-layer CNN (90.61%) in the same study [R45]; RealWaste and TrashNet comparisons routinely include VGG-16 [R2,R15].","Fine texture modelling via stacked 3x3 kernels - useful for mould lines, grain and surface finish.",Enormous for the accuracy delivered; the fully-connected head invites overfitting on small waste datasets.,"Simple, still occasionally top of a small held-out split; many worked examples.",93x the parameters of MobileNetV2 for ~4 points of ImageNet accuracy; poor latency; obsolete for deployment.,Reproducing older published baselines; not recommended for new deployments.,legacy baseline,"R2,R15,R45"
cnn_inception_xception,Inception-v3 / Xception / InceptionResNetV2,model,CNN transfer learning,27.2 / 22.9 / 55.8,5.7 / 8.4 / 13.2,299,ImageNet-1k,77.3 / 79.0 / 80.3,"~500-5,000 labelled crops",GPU: ~15-45 min,~8-40 ms/image CPU,Apache-2.0 / BSD-3,"A beluga-whale-optimised InceptionV3 reached 92.62% in 0.63 s on TrashNet, beating MobileNetV2, VGG16 and AlexNet under one protocol [R15]; InceptionResNetV2 and Inception-v3 are standard entries in TrashNet/RealWaste comparisons [R2,R8].",Multi-scale receptive fields (Inception) match material cues that span rim-to-texture scales; depthwise separable convolutions (Xception) give a better accuracy/latency point.,299x299 input costs latency; separable-convolution models are more sensitive to low-light noise in our proxy sweep.,"Mature, well-supported, strong accuracy for a moderate FLOP budget.",Superseded at equal cost by ConvNeXt/EfficientNetV2; more preprocessing quirks.,Reproducing published waste benchmarks; otherwise prefer ConvNeXt-T/EffNetV2-S.,baseline / production,"R2,R8,R15"
cnn_mobilenet_v2,MobileNetV2 / ShuffleNetV2 (1.0x),model,CNN transfer learning (mobile),3.5,0.3,224,ImageNet-1k,71.9 / 69.4,"~100-2,000 labelled crops",CPU: minutes; GPU: <5 min,1-3 ms/image CPU; sub-ms on a DSP/NPU,Apache-2.0 / BSD-3,"MobileNetV2 reaches 95.51% on a 2-class waste set, within 0.5 points of VGG16 at 1/40th the parameters; an improved MobileNetV2 reached 90.7% on a 4-class challenge set [R16]; MobileNetV2 is the standard edge choice in waste-classification surveys.",Cheapest credible accuracy on a CPU/DSP; depthwise separable convolutions learn local texture cues efficiently.,A single 224x224 image-level label gives no spatial evidence: one bright belt reflection can dominate a global-pooled feature.,Runs on an MCU-class NPU; tiny memory; easy quantisation to INT8.,Several points below ConvNeXt-T/EffNetV2-S accuracy; limited capacity for rare sub-types.,On-belt/edge deployment with a strict wattage or cost budget.,production (edge),"R16,R18"
cnn_mobilenet_v3,MobileNetV3-Large / -Small,model,CNN transfer learning (mobile),5.5 / 2.5,0.22 / 0.06,224,ImageNet-1k,75.3 / 67.7,"~100-2,000 labelled crops",CPU minutes,1-2 ms/image CPU,Apache-2.0,"EfficientNet_b7, Inception_v3 and MobileNet_v3 all achieved 98% on augmented microplastic data, with MobileNet_v3 reaching it in the least training time and with the smallest model - the clearest published argument for mobile-grade models in material classification [R17]; the same study notes MobileNet's suitability for smartphone deployment.",Squeeze-and-excite blocks give it a light channel-attention mechanism - useful for suppressing a dominant specular highlight channel.,"Compressed capacity can lose rare but decisive cues (thin rim highlights, small resin codes).",Best accuracy/watt in the mobile tier; tflite/torchscript/ONNX well supported.,"Behind modern mobile CNNs (MobileNetV4, EfficientViT) at equal latency [R39].",Real-time belt or handheld app; the pragmatic default for edge glass/plastic.,production (edge),"R17,R39"
cnn_mobilenet_v4,MobileNetV4 (Conv-S / Hybrid-L),model,"CNN transfer learning (mobile, 2024)",3.8 (Conv-S) / 32.5 (Hybrid-L),0.2 (Conv-S),224,ImageNet-1k (+JFT for distilled variants),73.8 (Conv-S) / 87.0 (Hybrid-L distilled),"~100-2,000 labelled crops",CPU minutes to GPU hours,"2.4 ms on a Pixel 6 CPU (Conv-S); 3.8 ms on a Pixel 8 EdgeTPU (Hybrid-L, INT8)",Apache-2.0,"MNv4 is 'mostly Pareto-optimal' across mobile CPUs, GPUs, DSPs and accelerators, and the distilled Hybrid-L reaches 87.0% ImageNet top-1 with 39x fewer MACs than its teacher [R39] - the current best target for on-device inference.",Universal Inverted Bottleneck + Mobile MQA give transformer-like mixing at mobile cost - helpful when the decisive cue is a small highlight or a fine mould mark rather than a global colour.,"Very new: few waste-specific published results, and JFT-distilled variants carry unclear provenance for regulated deployment.",Best known accuracy/latency frontier for edge hardware; INT8-friendly.,Ecosystem (tflite/timm parity) is less mature than ResNet/MobileNetV2-V3.,New edge deployments where you can afford to validate the toolchain.,"production (edge, new)",R39
cnn_efficientnet_b0_b3,EfficientNet-B0 / -B3,model,CNN transfer learning,5.3 / 12.2,0.39 / 1.8,224 / 300,ImageNet-1k,77.1 (B0) / 81.6 (B3); 79.4 for B0 with the RA4-E3600 recipe,"~300-3,000 labelled crops",GPU minutes,2-8 ms/image CPU,Apache-2.0,"EfficientNetB2 with an attention module reached 93.38% on a 4-class garbage set; EfficientNetB0 improved from 83.95% to 84.85% overall on glass-defect detection when synthetic minority data was added, with recall 0.35->0.65 [R36]; MobileNetV3/EfficientNet were joint top on microplastic images [R17].",Compound scaling gives a clean accuracy/cost dial (B0->B3) without changing the code; MBConv blocks respond well to fine texture.,Sensitive to input resolution - downscaling to save latency can erase the thin-highlight cue; group/depthwise normalisation shows more low-light noise sensitivity in our proxy sweep.,"Excellent accuracy per FLOP, one-line scale change, huge deployment support.",Superseded by EfficientNetV2 and ConvNeXt at equal cost; recipe-dependent ImageNet numbers [R40].,Balanced accuracy/latency target on a mid-range GPU or a strong CPU.,production,"R17,R36,R40"
cnn_efficientnetv2,EfficientNetV2-S / -M,model,CNN transfer learning,21.5,8.4,384 (S),ImageNet-1k/-21k,83.9-84.2,"~1,000-10,000 labelled crops",GPU: ~1-3 h (full fine-tune),~10-30 ms/image CPU,Apache-2.0,EfficientNetV2S was identified as the most sustainable/accurate option (96.41%) in a garbage-classification comparison that also accounted for carbon footprint [R16]; ranked in the top-3 backbones across six domains in a controlled backbone study [R38].,High effective resolution (384) preserves rim highlights and small labels; progressive learning recipe trains fast on small sets.,Much more compute than B0 for a few points; fine-tuning instability on very small datasets without a low LR.,One of the best accuracy-per-FLOP models available; strong published waste evidence.,Not the most efficient at very low latency; larger memory footprint.,Server/GPU-side classifier or the accuracy champion in a benchmark table.,research / production (server),"R16,R38"
cnn_convnext_tiny,ConvNeXt-Tiny / -Small,model,CNN transfer learning (modern CNN),28.6 / 50.0,4.5 / 8.7,224,ImageNet-1k/-21k,82.1-82.5 (T) / 83.1 (S),"~500-5,000 labelled crops",GPU: ~15-45 min,~8-25 ms/image CPU,MIT (timm) / BSD-3,"ConvNeXt-Tiny ranked *best overall* across six domains (natural, texture, remote sensing, plant, astronomy, medical) in a controlled 12-backbone comparison, ahead of EfficientNetV2-S and Swin-Tiny [R38] - the strongest architecture-level prior for a new material-classification task.","Large-kernel depthwise convolutions + LayerNorm give wide receptive fields, useful for judging surface finish and transmission over a whole object rather than a patch; transformer-like features at CNN runtime cost.",Still an image-level label: needs a detector or attention to localise the object on a busy belt; ImageNet-1k vs -21k weights differ noticeably in transfer quality.,Best all-round transfer backbone in independent comparisons; excellent tooling (timm) and quantisation support.,2-3x the latency of a MobileNet; more parameters to fine-tune on tiny sets.,The default 'strong model' in a new glass/plastic benchmark.,research / production,R38
cnn_regnety,RegNetY-3.2GF / InceptionNeXt-T,model,CNN transfer learning,19.4 / 28.0,3.2 / 4.2,224,ImageNet-1k,82.0 / 82.3,"~500-5,000 labelled crops",GPU: ~15-45 min,~10-20 ms/image CPU,Apache-2.0 / MIT,RegNetY-3.2GF ranked among the top backbones overall and specifically strong on plant/remote-sensing domains [R38]; InceptionNeXt-T reported 82.3% at 4.2 GFLOPs with 901 img/s training throughput [R38-adjacent benchmark].,"Regular, hardware-friendly design: high training throughput per FLOP lets you run more augmentations/seeds within a fixed budget - which usually buys more robustness than a bigger model on a small dataset.",No architectural feature aimed at specular/transparent cues; same shortcut risks as any ImageNet backbone.,Best throughput-per-accuracy for repeated experimentation; SE blocks give channel attention cheaply.,Less waste-domain evidence than DenseNet/ResNet families.,Large hyper-parameter/seed sweeps where wall-clock matters.,research,R38
vit_b16,ViT-B/16 (supervised fine-tune),model,Transformer,86.0,17.6,224 (384 for best recipes),ImageNet-1k or -21k,79.9 (IN-1k from scratch; needs heavy aug) / 84.9 (IN-21k AugReg),"~5,000-100,000 labelled crops (or 21k pretraining)","GPU: hours (fine-tune), much more from scratch",~30-100 ms/image CPU; 3-8 ms/image GPU,Apache-2.0 (timm),ViT-B/16 and MobileNetV3-Small are the supervised reference models in the zero-shot waste study [R29]; transformers reached F1 0.921-1.00 on plastic spectroscopic data [R27]; the waste-VLM study finds the practical value of ViTs is as frozen feature extractors for few-shot heads [R30].,Global self-attention can compare distant image regions - the natural operation for 'is the texture behind the object sharp and continuing?' (the transmission cue).,"Patch-tokenisation at 224 tends to downsample exactly the small, high-frequency cues (thin highlights, rim gradients) that separate glass from plastic; needs strong augmentation on small datasets.",Best-in-class scaling behaviour when data or 21k pretraining is available; excellent as a frozen backbone.,"Data-hungry, slow, large; poor choice for <2k images without heavy regularisation.","You have (or can generate) tens of thousands of in-domain crops, or you use it frozen with a linear/ProtoNet head.",research,"R27,R29,R30"
deit_small_tiny,DeiT-Tiny / DeiT-Small (distilled ViT),model,Transformer (data-efficient),5.7 / 22.1,1.3 / 4.6,224,ImageNet-1k (distilled),72.2 / 79.8,"~1,000-10,000 labelled crops",GPU: ~30-90 min,~8-30 ms/image CPU,Apache-2.0,DeiT is the canonical demonstration that transformer fine-tuning can work on ImageNet-scale data only when distillation + strong augmentation are used; the waste-VLM study's conclusion that pretrained models beat non-pretrained across the board (0.54-0.93 vs 0.41-0.78) [R18] is the same lesson for material classification.,Transformer inductive bias with CNN-like parameter count; attention maps are directly inspectable for audit.,Attention distillation quality varies; the fixed 16x16 patch granularity limits very fine texture reasoning.,Best parameter/accuracy point among transformers; interpretable attention rollout.,Typically beaten by ConvNeXt-Tiny at the same budget because it lacks the hierarchical multi-scale structure [R38].,When you specifically need attention-based interpretability at manageable cost.,research,"R18,R38"
swin_maxvit,Swin-T/SwinV2-T / MaxViT-T (hierarchical attention),model,Hybrid transformer,28.3 / 28.4 / 30.9,4.5 / 5.9 / 5.6,224,ImageNet-1k/-21k,81.3 / 82.1 / 83.4,"~1,000-10,000 labelled crops",GPU: ~30-90 min,~15-40 ms/image CPU,MIT / Apache-2.0,Swin-Tiny and SwinV2-Tiny are standard comparison entries in cross-domain backbone studies (81.5-82.1% ImageNet at ~28M params) [R38]; windowed/hybrid attention is the architecture family used in most recent HSI material-classification work (RVT/transformers on spectral-spatial data) [R27].,Hierarchical windows keep fine local detail while still allowing global comparison - a better inductive bias than plain ViT for mixed local(highlight)+global(transmission) evidence.,Same data appetite as ViTs; sliding-window attention is latency-unfriendly on fixed-function edge NPUs.,Typically the best accuracy among ~30M-parameter models together with ConvNeXt-T.,"Edge-unfriendly; more hyper-parameters (window size, drop path) to tune.",Accuracy-first server-side deployment where a small CNN has plateaued.,research / production (server),"R27,R38"
attention_cnn,Attention-augmented CNN (SE / CBAM / attention-AlexNet) and multi-scale fusion,model,Hybrid / attention,~25-60 (backbone + modules),~5-15,224-384,ImageNet-1k,backbone-dependent (no clean public number),"~500-5,000 labelled crops",GPU: ~20-60 min,~10-30 ms/image CPU,varies (paper code / timplike reimplementations),"An attention-enhanced AlexNet achieved the highest accuracy of three architectures it was compared against with the fewest confusions (e.g. 2,877 correct plastic-bottle vs 2,727 for plain CNN), explicitly because attention 'minimized misclassifications between visually confusing waste classes'; EfficientNetB2 + PMAM reached 93.38% on a 4-class set; multi-scale RGB+HSI fusion (RHFF-SOLOv1) was required for transparent PET/PP on a black belt [R32].",Attention is the natural fix for the core difficulty: learn to weight the rim highlight and the through-object texture instead of the background or a label; channel attention can suppress a saturating specular channel.,"Attention maps are a *soft* fix - they do not guarantee the model ignores a bright belt reflection, and they add parameters to an already data-hungry model.",Small architectural change with the best published confusion-matrix improvements on visually confusable class pairs (plastic/paper/glass).,Non-standard code; benefits are dataset-specific; harder to benchmark fairly.,After a baseline CNN plateaus on glass/plastic confusions and you have the data to train it.,research,"R32,R35"
vlm_clip_zeroshot,CLIP / OpenCLIP / SigLIP — zero-shot classification,model,Foundation model / VLM,151 (CLIP ViT-B/32) / 428 (ViT-L/14) / 878+ (SigLIP SO400M),~40 (L/14 at 336),224-336,400M-5B image-text pairs (LAION/WebLI),76.0 (B/32 zero-shot) / ~80 (L/14),0 labelled images (few-shot: 1-16 per class helps),0 for zero-shot; minutes for a linear head on cached features,"3.8 ms/image reported for OpenCLIP ViT-L/14 (~263 FPS, batched GPU); 2.83 FPS for ViT-L/14-336 in a CPU-limited study",MIT (CLIP/OpenCLIP code) - check each checkpoint's data terms,"Zero-shot waste classification on TrashNet: OpenCLIP ViT-L/14-336 reaches 76.30% with no training, versus 82.71% on a 6-class industrial set, improving to 90.48% purely by prompt engineering and 97.18% when fully supervised [R28,R29]; prompt sensitivity is the dominant failure mode [R29].","Zero-shot 'glass jar' vs 'plastic bottle' prompts work surprisingly well because the language prior includes material semantics; can be re-targeted to a new taxonomy (e.g. 'amber glass', 'transparent PET') by editing text only - no retraining, no downtime [R30].",Prompt-dependent and poorly calibrated; fails precisely on visually ambiguous items (clear glass vs clear PET); large models are slow on CPU and their text prior can dominate weak visual evidence.,"No annotation cost, instant taxonomy changes, strong baseline for rare classes, and an excellent feature extractor for few-shot heads.",Accuracy below a fine-tuned CNN in-domain; big models violate real-time edge budgets; licence/data-provenance questions for regulated settings.,"Cold start with no labels, taxonomy drift, or bootstrapping annotations for a supervised model.",production (bootstrap) / research,"R28,R29,R30"
